Period,CTP 0 ,CTP 1,CTP 5
1,1.285714286,1.571428571,1.25
2,0.125,0.75,1.25
3,0,3,1.875
4,0,2.25,0.625
5,1.75,0.375,0.5
6,0.75,0.75,1
7,0,0.375,0.75
8,0,0.375,1.625
9,0,1.25,0
10,0,3.75,0.25
11,0,0,
12,1.625,1.875,
13,0,1.875,
14,3.125,1.625,
15,0,0.5,
16,0,0.125,
17,0,0,
18,0,1.5,
19,0,0.375,
20,5.571428571,0.375,
